type,id,time,travelTime,carsInSegment,score
match,'003002,1267948957.097,75.127,1,0.26
match,'003002,1267949229.546,94.263,3,0.21
match,'003002,1267949242.971,75.729,2,0.14
match,'003002,1267949245.605,75.986,1,0.06
match,'002001,1267949307.078,61.473,3,0.14
match,'003002,1267949395.250,79.546,0,0.17
match,'002001,1267949468.940,22.702,0,0.19
match,'003002,1267949528.218,76.060,0,0.06
match,'002001,1267949845.984,37.613,0,0.27
match,'002001,1267950438.070,35.820,1,0.29
match,'003002,1267950495.097,89.168,2,0.19
match,'003002,1267950701.027,78.263,0,0.08
match,'003002,1267951590.210,75.585,1,0.07
match,'003002,1267951718.210,77.219,0,0.19
match,'002001,1267951799.304,22.035,1,0.22
match,'002001,1267952089.038,26.898,0,0.22
match,'003002,1267952507.347,66.917,0,0.19
match,'002001,1267952529.858,59.687,1,0.15
match,'002001,1267952531.304,23.957,0,0.21
match,'002001,1267952873.460,37.968,1,0.13
match,'002001,1267953040.320,27.008,2,0.23
match,'002001,1267953047.014,21.499,1,0.14
match,'002001,1267953151.506,38.605,2,0.16
match,'002001,1267953158.151,34.905,0,0.10
match,'002001,1267953197.030,34.812,0,0.14
match,'003002,1267953481.093,86.953,0,0.26
match,'002001,1267953580.725,17.475,0,0.11
match,'002001,1267953626.539,34.180,1,0.20
match,'002001,1267953679.694,82.515,1,0.17
match,'002001,1267954009.022,20.468,0,0.08
match,'002001,1267954400.113,41.953,2,0.10
match,'002001,1267954403.030,38.866,1,0.15
match,'003002,1267954485.507,65.211,0,0.10
match,'003002,1267954704.582,67.746,0,0.10
match,'003002,1267954881.968,72.287,0,0.07
match,'003002,1267955872.827,78.334,1,0.22
match,'002001,1267956030.992,18.942,0,0.19
match,'002001,1267956135.827,18.081,0,0.29
match,'003002,1267957012.304,63.444,0,0.23
match,'003002,1267957109.936,66.817,1,0.19
match,'002001,1267957129.725,19.789,0,0.26
match,'003002,1267957549.273,70.759,0,0.17
match,'002001,1267958473.429,17.715,0,0.22
match,'003002,1267960795.350,59.921,0,0.29
match,'003002,1267961022.531,73.452,0,0.14
match,'003002,1267961097.030,60.614,0,0.14
match,'003002,1267961969.109,143.928,0,0.23
match,'003002,1267962292.920,66.960,0,0.10
match,'003002,1267962713.148,63.865,0,0.19
match,'002001,1267962865.789,17.998,0,0.14
match,'003002,1267963256.484,62.131,1,0.19
match,'003002,1267963280.491,65.467,2,0.28
match,'003002,1267963342.092,76.396,1,0.22
match,'003002,1267963344.546,75.717,0,0.13
match,'003002,1267963554.002,64.003,1,0.29
match,'003002,1267963555.976,64.195,0,0.25
match,'003002,1267963642.875,64.329,0,0.25
match,'003002,1267965431.054,58.390,0,0.20
match,'003002,1267965960.140,62.382,1,0.19
match,'003002,1267966133.187,52.373,0,0.18
match,'003002,1267966729.389,78.700,0,0.17
match,'003002,1267967145.631,67.551,0,0.15
match,'003002,1267967781.375,57.689,0,0.29
match,'002001,1267967910.273,34.543,0,0.16
match,'002001,1267968157.952,28.691,0,0.28
match,'003002,1267968628.968,65.218,0,0.06
match,'003002,1267969190.893,70.559,1,0.15
match,'003002,1267969225.834,53.561,0,0.28
match,'002001,1267969241.018,15.184,0,0.23
match,'002001,1267969550.092,12.042,0,0.18
match,'003002,1267969885.140,61.982,0,0.13
